"","Score_observed_expert","Score_predicted_expert","knapper","assessment"
"1",5,4.93858333333334,"bb_1","10"
"2",5,4.90466833333334,"bb_2","10"
"3",5,4.7938625,"bb_3","10"
"4",5,4.58756333333334,"bb_4","10"
"5",5,4.86597583333334,"ds_1","10"
"6",5,4.71269500000002,"ds_2","10"
"7",5,4.81107833333334,"ds_3","10"
"8",5,4.63055500000001,"jl_1","10"
"9",5,4.56835666666668,"jl_2","10"
"10",5,3.64887666666667,"jl_4","10"
"11",1,1.34754333333334,NA,"1"
"12",1,2.41295833333333,NA,"1"
"13",1,1.4905125,NA,"1"
"14",1,1.23192583333334,NA,"1"
"15",1.5,1.99490083333334,NA,"1"
"16",1.5,1.954505,NA,"1"
"17",2,2.0138,NA,"1"
"18",2,1.71461916666667,NA,"1"
"19",2,1.71657083333333,NA,"1"
"20",1,2.05464333333334,NA,"1"
"21",1,1.62206166666667,NA,"1"
"22",1,1.84836083333334,NA,"1"
"23",1,1.73700250000001,NA,"1"
"24",1,1.46620666666667,NA,"1"
"25",1,1.23059916666667,NA,"1"
"26",1,1.52256166666667,NA,"1"
"27",1,1.63360916666667,NA,"1"
"28",1,3.10798916666667,NA,"1"
"29",1,1.71571416666667,NA,"1"
"30",1,1.20580916666667,NA,"1"
"31",1,1.39332833333334,NA,"1"
"32",2,1.89666833333334,NA,"1"
"33",2,1.97202499999999,NA,"1"
"34",2,2.12941083333333,NA,"1"
"35",2,1.91784166666666,NA,"1"
"36",3,2.57553083333334,NA,"1"
"37",1,1.22228,NA,"2"
"38",1.5,1.561385,NA,"2"
"39",2,2.341035,NA,"2"
"40",2,2.53885,NA,"2"
"41",2,3.34527666666666,NA,"2"
"42",2,2.72324083333333,NA,"2"
"43",2,2.36634333333334,NA,"2"
"44",2,1.82643083333334,NA,"2"
"45",2.5,3.09489500000001,NA,"2"
"46",2.5,2.21048583333333,NA,"2"
"47",2.5,3.24654083333333,NA,"2"
"48",2.5,2.90187416666666,NA,"2"
"49",3,3.2959,NA,"2"
"50",3,3.10044333333333,NA,"2"
"51",3,3.15148999999999,NA,"2"
"52",3.5,3.32338416666667,NA,"2"
"53",3.5,3.52924499999999,NA,"2"
"54",2.5,2.94881000000001,NA,"3"
"55",2.5,2.66507166666666,NA,"3"
"56",2.5,2.777145,NA,"3"
"57",3,2.92867583333333,NA,"3"
"58",3,2.99398416666666,NA,"3"
"59",3,3.11194166666668,NA,"3"
"60",3,3.25397,NA,"3"
"61",3,3.15630916666666,NA,"3"
"62",3,3.72804333333332,NA,"3"
"63",3,3.238625,NA,"3"
"64",3.5,3.47202666666667,NA,"3"
"65",3.5,3.44429333333333,NA,"3"
"66",3.5,2.19732916666667,NA,"3"
"67",4,3.6788325,NA,"3"
"68",2,2.42475583333333,NA,"4"
"69",2.5,2.5022225,NA,"4"
"70",3,3.09404333333333,NA,"4"
"71",3,2.95271333333334,NA,"4"
"72",3,3.11621999999999,NA,"4"
"73",3,3.11807166666666,NA,"4"
"74",3,3.73759583333333,NA,"4"
"75",3.5,3.13469666666667,NA,"4"
"76",3.5,3.2891125,NA,"4"
"77",3.5,3.20543416666667,NA,"4"
"78",4,3.29892333333333,NA,"4"
"79",4,3.65064750000001,NA,"4"
"80",4,3.68549666666667,NA,"4"
"81",3,3.139155,NA,"5"
"82",3,3.16131083333333,NA,"5"
"83",3,3.28977333333333,NA,"5"
"84",3,3.11130083333333,NA,"5"
"85",3,3.22773666666667,NA,"5"
"86",3.5,3.6997825,NA,"5"
"87",3.5,3.43090916666667,NA,"5"
"88",3.5,3.310745,NA,"5"
"89",3.5,3.02517833333333,NA,"5"
"90",3.5,2.75138083333334,NA,"5"
"91",3.5,2.8179075,NA,"5"
"92",3.5,3.11360666666667,NA,"5"
"93",4,3.53478916666667,NA,"5"
"94",4,3.75251,NA,"5"
"95",4,3.81734833333333,NA,"5"
"96",4,3.86389499999999,NA,"5"
"97",4,3.5468125,NA,"5"
"98",3,3.12492666666667,NA,"6"
"99",3,3.03314499999999,NA,"6"
"100",3,2.93785416666667,NA,"6"
"101",3,2.3266475,NA,"6"
"102",3.5,3.44199666666666,NA,"6"
"103",3.5,3.35379333333333,NA,"6"
"104",3.5,3.42370083333333,NA,"6"
"105",4,3.23718999999999,NA,"6"
"106",4,3.34430833333333,NA,"6"
"107",4,3.32962583333334,NA,"6"
"108",3,3.19892083333333,NA,"7"
"109",3,3.27325666666666,NA,"7"
"110",3,3.484225,NA,"7"
"111",3,2.90220000000001,NA,"7"
"112",3.5,3.43854249999999,NA,"7"
"113",3.5,2.91912333333333,NA,"7"
"114",3.5,3.38492749999999,NA,"7"
"115",4,3.57437749999999,NA,"7"
"116",4,3.71917833333333,NA,"7"
"117",4,3.81076333333334,NA,"7"
"118",3,3.07395333333334,NA,"8"
"119",3,2.82641583333334,NA,"8"
"120",3.5,3.0554975,NA,"8"
"121",3.5,3.49000666666667,NA,"8"
"122",4,3.8415025,NA,"8"
"123",4,3.20062,NA,"8"
"124",4,3.40339083333333,NA,"8"
"125",4,3.82411666666667,NA,"8"
"126",4,3.66526166666666,NA,"8"
"127",4.5,3.95001999999999,NA,"8"
"128",3,3.236685,NA,"9"
"129",3,2.467525,NA,"9"
"130",3.5,3.36676833333333,NA,"9"
"131",3.5,3.5409975,NA,"9"
"132",4,3.52346083333333,NA,"9"
"133",4,3.94584666666667,NA,"9"
"134",4,3.73531416666667,NA,"9"
"135",4,3.79459499999999,NA,"9"
"136",4,3.70738249999999,NA,"9"
"137",4,3.26571250000001,NA,"9"
"138",4.5,3.82225666666666,NA,"9"
"139",1,1.46370416666667,NA,NA
"140",1,1.7954075,NA,NA
"141",1,1.64802916666667,NA,NA
"142",1,1.1813775,NA,NA
"143",1.5,2.04675833333333,NA,NA
"144",1.5,1.67080249999999,NA,NA
"145",2,1.9615575,NA,NA
"146",2,1.43517416666667,NA,NA
"147",2,1.73199,NA,NA
"148",1,1.59772916666667,NA,NA
"149",1,1.4558475,NA,NA
"150",1,1.7388475,NA,NA
"151",1,1.75858666666667,NA,NA
"152",1,2.19866666666666,NA,NA
"153",1,1.1420825,NA,NA
"154",1,1.326105,NA,NA
"155",1,2.17772833333332,NA,NA
"156",1,1.9165125,NA,NA
"157",1,1.8693575,NA,NA
"158",1,1.13147166666667,NA,NA
"159",1,1.17636333333333,NA,NA
"160",1,1.1440875,NA,NA
"161",1.5,1.64183416666667,NA,NA
"162",2,2.04878499999999,NA,NA
"163",2,1.99591833333333,NA,NA
"164",2,1.9902625,NA,NA
"165",2,1.919975,NA,NA
"166",2,2.34671666666667,NA,NA
"167",2,2.581765,NA,NA
"168",2,2.3913325,NA,NA
"169",2,2.34568166666666,NA,NA
"170",2,2.576905,NA,NA
"171",2,1.90568916666667,NA,NA
"172",2,2.50156166666667,NA,NA
"173",2.5,2.67438333333333,NA,NA
"174",2.5,2.30914833333333,NA,NA
"175",2.5,2.64471166666667,NA,NA
"176",2.5,2.76792750000001,NA,NA
"177",2.5,3.27819833333333,NA,NA
"178",2.5,2.49008416666666,NA,NA
"179",2.5,2.80794166666667,NA,NA
"180",2.5,2.6732475,NA,NA
"181",3,2.69319333333333,NA,NA
"182",3,3.24392166666668,NA,NA
"183",3,3.53777333333334,NA,NA
"184",3,3.18384416666667,NA,NA
"185",3,3.30130916666667,NA,NA
"186",3,3.25322333333333,NA,NA
"187",3,3.14240583333333,NA,NA
"188",3,3.48269083333333,NA,NA
"189",3,3.27771333333334,NA,NA
"190",3,3.2687325,NA,NA
"191",3,3.22111166666667,NA,NA
"192",3,3.57407666666667,NA,NA
"193",3,3.104565,NA,NA
"194",3,3.16203666666667,NA,NA
"195",3,3.25295750000001,NA,NA
"196",3,3.32944166666666,NA,NA
"197",3,3.1151675,NA,NA
"198",3,3.40461666666667,NA,NA
"199",3,3.66932083333334,NA,NA
"200",3,3.63615416666667,NA,NA
"201",3,3.35839416666666,NA,NA
"202",3,3.321335,NA,NA
"203",3,3.05003333333333,NA,NA
"204",3,3.2034725,NA,NA
"205",3,2.43496583333332,NA,NA
"206",3,3.13881833333333,NA,NA
"207",3,3.1298575,NA,NA
"208",3,3.31924999999999,NA,NA
"209",3,2.90142083333334,NA,NA
"210",3,3.04337416666667,NA,NA
"211",3,2.80077083333334,NA,NA
"212",3,3.11790666666666,NA,NA
"213",3,2.3774625,NA,NA
"214",3.5,3.46536333333333,NA,NA
"215",3.5,3.34663333333333,NA,NA
"216",3.5,3.64048666666667,NA,NA
"217",3.5,4.05828000000001,NA,NA
"218",3.5,2.78628916666666,NA,NA
"219",3.5,3.61479416666668,NA,NA
"220",3.5,3.45951916666667,NA,NA
"221",3.5,3.2564375,NA,NA
"222",3.5,3.70758000000001,NA,NA
"223",3.5,3.34001083333333,NA,NA
"224",3.5,3.47919916666667,NA,NA
"225",3.5,3.18118083333333,NA,NA
"226",3.5,3.28155916666666,NA,NA
"227",3.5,3.32441666666666,NA,NA
"228",3.5,3.04879916666667,NA,NA
"229",3.5,3.3626225,NA,NA
"230",3.5,3.49715083333332,NA,NA
"231",3.5,3.46660583333334,NA,NA
"232",3.5,3.85908916666668,NA,NA
"233",3.5,3.37612333333333,NA,NA
"234",3.5,3.39945416666667,NA,NA
"235",3.5,3.41296416666667,NA,NA
"236",3.5,3.50885916666668,NA,NA
"237",3.5,3.504635,NA,NA
"238",3.5,3.79702833333333,NA,NA
"239",4,2.69782833333333,NA,NA
"240",4,3.74952583333333,NA,NA
"241",4,3.619745,NA,NA
"242",4,3.53886750000001,NA,NA
"243",4,3.789965,NA,NA
"244",4,3.80102250000002,NA,NA
"245",4,3.58419666666668,NA,NA
"246",4,4.35257416666667,NA,NA
"247",4,3.5582025,NA,NA
"248",4,3.3681175,NA,NA
"249",4,3.40169083333334,NA,NA
"250",4,2.33718166666667,NA,NA
"251",4,3.45543916666666,NA,NA
"252",4,3.78517083333334,NA,NA
"253",4,4.08846500000001,NA,NA
"254",4,3.80534666666668,NA,NA
"255",4,3.64861333333334,NA,NA
"256",4,3.4475975,NA,NA
"257",4,3.81117583333335,NA,NA
"258",4,3.64076833333332,NA,NA
"259",4,3.53967583333333,NA,NA
"260",4,4.29734250000002,NA,NA
"261",4,4.00612250000001,NA,NA
"262",4,3.51253416666667,NA,NA
"263",4,3.79429333333333,NA,NA
"264",4,2.1128175,NA,NA
"265",4.5,3.31085999999999,NA,NA
"266",4.5,4.05110916666667,NA,NA
